Course,Term_Offered,Campus
CRIM4004,Term 1 2019,"Main Campus, Kensington"
CRIM1011,Term 2 2019,"Main Campus, Kensington"
CRIM2020,Term 2 2019,"Main Campus, Kensington"
CRIM2021,Term 2 2019,"Main Campus, Kensington"
CRIM2031,Term 2 2019,"Main Campus, Kensington"
CRIM2034,Term 2 2019,"Main Campus, Kensington"
CRIM2041,Term 2 2019,"Main Campus, Kensington"
CRIM2042,Term 2 2019,"Main Campus, Kensington"
CRIM3000,Term 2 2019,"Main Campus, Kensington"
CRIM3012,Term 2 2019,"Main Campus, Kensington"
CRIM3015,Term 2 2019,"Main Campus, Kensington"
CRIM3019,Term 2 2019,"Main Campus, Kensington"
CRIM3025,Term 2 2019,"Main Campus, Kensington"
CRIM4001,Term 2 2019,"Main Campus, Kensington"
CRIM4002,Term 2 2019,"Main Campus, Kensington"
CRIM4003,Term 2 2019,"Main Campus, Kensington"
CRIM4004,Term 2 2019,"Main Campus, Kensington"
CRIM1010,Term 3 2019,"Main Campus, Kensington"
CRIM1011,Term 3 2019,"Main Campus, Kensington"
CRIM2021,Term 3 2019,"Main Campus, Kensington"
CRIM2036,Term 3 2019,"Main Campus, Kensington"
CRIM2038,Term 3 2019,"Main Campus, Kensington"
CRIM2041,Term 3 2019,"Main Campus, Kensington"
CRIM2042,Term 3 2019,"Main Campus, Kensington"
CRIM3000,Term 3 2019,"Main Campus, Kensington"
CRIM3020,Term 3 2019,"Main Campus, Kensington"
CRIM3024,Term 3 2019,"Main Campus, Kensington"
CRIM3025,Term 3 2019,"Main Campus, Kensington"
CRIM4001,Term 3 2019,"Main Campus, Kensington"
CRIM4002,Term 3 2019,"Main Campus, Kensington"
CRIM4003,Term 3 2019,"Main Campus, Kensington"
CRIM4004,Term 3 2019,"Main Campus, Kensington"
CRTV9000,Term 1 2019,"Main Campus, Kensington"
CRTV9050,Term 1 2019,"Main Campus, Kensington"
CRTV9000,Term 2 2019,"Main Campus, Kensington"
CRTV9050,Term 2 2019,"Main Campus, Kensington"
CRTV9000,Term 3 2019,"Main Campus, Kensington"
CRTV9050,Term 3 2019,"Main Campus, Kensington"
CVEN4030,Summer Term 2019,"Main Campus, Kensington"
CVEN4031,Summer Term 2019,"Main Campus, Kensington"
CVEN4032,Summer Term 2019,"Main Campus, Kensington"
CVEN4033,Summer Term 2019,"Main Campus, Kensington"
CVEN4040,Summer Term 2019,"Main Campus, Kensington"
CVEN4041,Summer Term 2019,"Main Campus, Kensington"
CVEN9931,Summer Term 2019,"Main Campus, Kensington"
CVEN9932,Summer Term 2019,"Main Campus, Kensington"
CVEN0008,Term 1 2019,"Main Campus, Kensington"
CVEN0088,Term 1 2019,"Main Campus, Kensington"
CVEN3202,Term 1 2019,"Main Campus, Kensington"
CVEN3303,Term 1 2019,"Main Campus, Kensington"
CVEN3501,Term 1 2019,"Main Campus, Kensington"
CVEN3701,Term 1 2019,"Main Campus, Kensington"
CVEN4002,Term 1 2019,"Main Campus, Kensington"
CVEN4030,Term 1 2019,"Main Campus, Kensington"
CVEN4031,Term 1 2019,"Main Campus, Kensington"
CVEN4032,Term 1 2019,"Main Campus, Kensington"
CVEN4033,Term 1 2019,"Main Campus, Kensington"
CVEN4041,Term 1 2019,"Main Campus, Kensington"
CVEN4050,Term 1 2019,"Main Campus, Kensington"
CVEN4102,Term 1 2019,"Main Campus, Kensington"
CVEN4201,Term 1 2019,"Main Campus, Kensington"
CVEN4309,Term 1 2019,"Main Campus, Kensington"
CVEN4404,Term 1 2019,"Main Campus, Kensington"
CVEN4503,Term 1 2019,"Main Campus, Kensington"
CVEN4800,Term 1 2019,"Main Campus, Kensington"
CVEN4951,Term 1 2019,"Main Campus, Kensington"
CVEN4999,Term 1 2019,"Main Campus, Kensington"
CVEN9000,Term 1 2019,"Main Campus, Kensington"
CVEN9421,Term 1 2019,"Main Campus, Kensington"
CVEN9422,Term 1 2019,"Main Campus, Kensington"
CVEN9451,Term 1 2019,"Main Campus, Kensington"
CVEN9511,Term 1 2019,"Main Campus, Kensington"
CVEN9512,Term 1 2019,"Main Campus, Kensington"
CVEN9522,Term 1 2019,"Main Campus, Kensington"
CVEN9525,Term 1 2019,"Main Campus, Kensington"
CVEN9611,Term 1 2019,"Main Campus, Kensington"
CVEN9625,Term 1 2019,"Main Campus, Kensington"
CVEN9640,Term 1 2019,"Main Campus, Kensington"
CVEN9701,Term 1 2019,"Main Campus, Kensington"
CVEN9731,Term 1 2019,"Main Campus, Kensington"
CVEN9742,Term 1 2019,"Main Campus, Kensington"
CVEN9806,Term 1 2019,"Main Campus, Kensington"
CVEN9809,Term 1 2019,"Main Campus, Kensington"
CVEN9855,Term 1 2019,"Main Campus, Kensington"
CVEN9857,Term 1 2019,"Main Campus, Kensington"
CVEN9892,Term 1 2019,"Main Campus, Kensington"
CVEN9898,Term 1 2019,"Main Campus, Kensington"
CVEN9901,Term 1 2019,"Main Campus, Kensington"
CVEN9902,Term 1 2019,"Main Campus, Kensington"
CVEN9932,Term 1 2019,"Main Campus, Kensington"
CVEN9950,Term 1 2019,"Main Campus, Kensington"
CVEN2002,Term 2 2019,"Main Campus, Kensington"
CVEN2303,Term 2 2019,"Main Campus, Kensington"
CVEN2401,Term 2 2019,"Main Campus, Kensington"
CVEN2402,Term 2 2019,"Main Campus, Kensington"
CVEN2701,Term 2 2019,"Main Campus, Kensington"
CVEN3031,Term 2 2019,"Main Campus, Kensington"
CVEN3304,Term 2 2019,"Main Campus, Kensington"
CVEN3502,Term 2 2019,"Main Campus, Kensington"
CVEN4003,Term 2 2019,"Main Campus, Kensington"
CVEN4030,Term 2 2019,"Main Campus, Kensington"
CVEN4031,Term 2 2019,"Main Campus, Kensington"
CVEN4032,Term 2 2019,"Main Campus, Kensington"
CVEN4033,Term 2 2019,"Main Campus, Kensington"
CVEN4041,Term 2 2019,"Main Campus, Kensington"
CVEN4051,Term 2 2019,"Main Campus, Kensington"
CVEN4202,Term 2 2019,"Main Campus, Kensington"
CVEN4300,Term 2 2019,"Main Campus, Kensington"
CVEN4301,Term 2 2019,"Main Campus, Kensington"
CVEN4402,Term 2 2019,"Main Campus, Kensington"
CVEN4507,Term 2 2019,"Main Campus, Kensington"
CVEN4701,Term 2 2019,"Main Campus, Kensington"
CVEN4703,Term 2 2019,"Main Campus, Kensington"
CVEN4951,Term 2 2019,"Main Campus, Kensington"
CVEN4952,Term 2 2019,"Main Campus, Kensington"
CVEN4953,Term 2 2019,"Main Campus, Kensington"
CVEN4999,Term 2 2019,"Main Campus, Kensington"
CVEN9000,Term 2 2019,"Main Campus, Kensington"
CVEN9407,Term 2 2019,"Main Campus, Kensington"
CVEN9415,Term 2 2019,"Main Campus, Kensington"
CVEN9451,Term 2 2019,"Main Campus, Kensington"
CVEN9452,Term 2 2019,"Main Campus, Kensington"
CVEN9453,Term 2 2019,"Main Campus, Kensington"
CVEN9521,Term 2 2019,"Main Campus, Kensington"
CVEN9630,Term 2 2019,"Main Campus, Kensington"
CVEN9702,Term 2 2019,"Main Campus, Kensington"
CVEN9741,Term 2 2019,"Main Campus, Kensington"
CVEN9818,Term 2 2019,"Main Campus, Kensington"
CVEN9822,Term 2 2019,"Main Campus, Kensington"
CVEN9826,Term 2 2019,"Main Campus, Kensington"
CVEN9881,Term 2 2019,"Main Campus, Kensington"
CVEN9884,Term 2 2019,"Main Campus, Kensington"
CVEN9888,Term 2 2019,"Main Campus, Kensington"
CVEN9932,Term 2 2019,"Main Campus, Kensington"
CVEN1701,Term 3 2019,"Main Campus, Kensington"
CVEN2101,Term 3 2019,"Main Campus, Kensington"
CVEN3101,Term 3 2019,"Main Campus, Kensington"
CVEN3202,Term 3 2019,"Main Campus, Kensington"
CVEN3203,Term 3 2019,"Main Campus, Kensington"
CVEN3702,Term 3 2019,"Main Campus, Kensington"
CVEN4030,Term 3 2019,"Main Campus, Kensington"
CVEN4031,Term 3 2019,"Main Campus, Kensington"
CVEN4032,Term 3 2019,"Main Campus, Kensington"
CVEN4033,Term 3 2019,"Main Campus, Kensington"
CVEN4041,Term 3 2019,"Main Campus, Kensington"
CVEN4050,Term 3 2019,"Main Campus, Kensington"
CVEN4103,Term 3 2019,"Main Campus, Kensington"
CVEN4106,Term 3 2019,"Main Campus, Kensington"
CVEN4204,Term 3 2019,"Main Campus, Kensington"
CVEN4308,Term 3 2019,"Main Campus, Kensington"
CVEN4504,Term 3 2019,"Main Campus, Kensington"
CVEN4701,Term 3 2019,"Main Campus, Kensington"
CVEN4705,Term 3 2019,"Main Campus, Kensington"
CVEN4951,Term 3 2019,"Main Campus, Kensington"
CVEN4952,Term 3 2019,"Main Campus, Kensington"
CVEN4953,Term 3 2019,"Main Campus, Kensington"
CVEN9405,Term 3 2019,"Main Campus, Kensington"
CVEN9451,Term 3 2019,"Main Campus, Kensington"
CVEN9452,Term 3 2019,"Main Campus, Kensington"
CVEN9453,Term 3 2019,"Main Campus, Kensington"
CVEN9513,Term 3 2019,"Main Campus, Kensington"
CVEN9524,Term 3 2019,"Main Campus, Kensington"
CVEN9525,Term 3 2019,"Main Campus, Kensington"
CVEN9612,Term 3 2019,"Main Campus, Kensington"
CVEN9620,Term 3 2019,"Main Campus, Kensington"
CVEN9625,Term 3 2019,"Main Campus, Kensington"
CVEN9710,Term 3 2019,"Main Campus, Kensington"
CVEN9723,Term 3 2019,"Main Campus, Kensington"
CVEN9802,Term 3 2019,"Main Campus, Kensington"
CVEN9820,Term 3 2019,"Main Campus, Kensington"
CVEN9824,Term 3 2019,"Main Campus, Kensington"
CVEN9856,Term 3 2019,"Main Campus, Kensington"
CVEN9872,Term 3 2019,"Main Campus, Kensington"
CVEN9884,Term 3 2019,"Main Campus, Kensington"
CVEN9885,Term 3 2019,"Main Campus, Kensington"
CVEN9901,Term 3 2019,"Main Campus, Kensington"
CVEN9932,Term 3 2019,"Main Campus, Kensington"
DATA1099,Term 1 2019,"Main Campus, Kensington"
DATA1001,Term 2 2019,"Main Campus, Kensington"
DATA1099,Term 2 2019,"Main Campus, Kensington"
DATA3001,Term 2 2019,"Main Campus, Kensington"
DATA1099,Term 3 2019,"Main Campus, Kensington"
DIPP1111,Term 1 2019,"Main Campus, Kensington"
DIPP1112,Term 1 2019,"Main Campus, Kensington"
DIPP1510,Term 1 2019,"Main Campus, Kensington"
DIPP1111,Term 2 2019,"Main Campus, Kensington"
DIPP1112,Term 2 2019,"Main Campus, Kensington"
DIPP1510,Term 2 2019,"Main Campus, Kensington"
DIPP1112,Term 3 2019,"Main Campus, Kensington"
DIPP1510,Term 3 2019,"Main Campus, Kensington"
DPGE1002,Term 1 2019,"Main Campus, Kensington"
DPST1013,Term 1 2019,"Main Campus, Kensington"
DPST1014,Term 1 2019,"Main Campus, Kensington"
DPST1024,Term 1 2019,"Main Campus, Kensington"
DPST1031,Term 1 2019,"Main Campus, Kensington"
DPST1052,Term 1 2019,"Main Campus, Kensington"
DPST1091,Term 1 2019,"Main Campus, Kensington"
ECON1101,Summer Term 2019,"Main Campus, Kensington"
ECON1102,Summer Term 2019,"Main Campus, Kensington"
ECON1202,Summer Term 2019,"Main Campus, Kensington"
ECON1203,Summer Term 2019,"Main Campus, Kensington"
ECON2101,Summer Term 2019,"Main Campus, Kensington"
ECON1101,Term 1 2019,"Main Campus, Kensington"
ECON1102,Term 1 2019,"Main Campus, Kensington"
ECON1107,Term 1 2019,"Main Campus, Kensington"
ECON1202,Term 1 2019,"Main Campus, Kensington"
ECON1203,Term 1 2019,"Main Campus, Kensington"
ECON1401,Term 1 2019,"Main Campus, Kensington"
ECON2101,Term 1 2019,"Main Campus, Kensington"
ECON2102,Term 1 2019,"Main Campus, Kensington"
ECON2112,Term 1 2019,"Main Campus, Kensington"
ECON2206,Term 1 2019,"Main Campus, Kensington"
ECON2209,Term 1 2019,"Main Campus, Kensington"
ECON3104,Term 1 2019,"Main Campus, Kensington"
ECON3109,Term 1 2019,"Main Campus, Kensington"
ECON3114,Term 1 2019,"Main Campus, Kensington"
ECON3121,Term 1 2019,"Main Campus, Kensington"
ECON3124,Term 1 2019,"Main Campus, Kensington"
ECON3202,Term 1 2019,"Main Campus, Kensington"
ECON3208,Term 1 2019,"Main Campus, Kensington"
ECON3209,Term 1 2019,"Main Campus, Kensington"
ECON4100,Term 1 2019,"Main Campus, Kensington"
ECON4103,Term 1 2019,"Main Campus, Kensington"
ECON4124,Term 1 2019,"Main Campus, Kensington"
ECON4125,Term 1 2019,"Main Campus, Kensington"
ECON4127,Term 1 2019,"Main Campus, Kensington"
ECON4202,Term 1 2019,"Main Campus, Kensington"
ECON4205,Term 1 2019,"Main Campus, Kensington"
ECON4208,Term 1 2019,"Main Campus, Kensington"
ECON4309,Term 1 2019,"Main Campus, Kensington"
ECON5000,Term 1 2019,"Main Campus, Kensington"
ECON5001,Term 1 2019,"Main Campus, Kensington"
ECON5103,Term 1 2019,"Main Campus, Kensington"
ECON5112,Term 1 2019,"Main Campus, Kensington"
ECON5114,Term 1 2019,"Main Campus, Kensington"
ECON5248,Term 1 2019,"Main Campus, Kensington"
ECON5257,Term 1 2019,"Main Campus, Kensington"
ECON5300,Term 1 2019,"Main Campus, Kensington"
ECON5304,Term 1 2019,"Main Campus, Kensington"
ECON5309,Term 1 2019,"Main Campus, Kensington"
ECON5321,Term 1 2019,"Main Campus, Kensington"
ECON5324,Term 1 2019,"Main Campus, Kensington"
ECON5402,Term 1 2019,"Main Campus, Kensington"
ECON5408,Term 1 2019,"Main Campus, Kensington"
ECON5409,Term 1 2019,"Main Campus, Kensington"
ECON6001,Term 1 2019,"Main Campus, Kensington"
ECON6004,Term 1 2019,"Main Campus, Kensington"
ECON6201,Term 1 2019,"Main Campus, Kensington"
ECON6205,Term 1 2019,"Main Campus, Kensington"
ECON6309,Term 1 2019,"Main Campus, Kensington"
ECON7001,Term 1 2019,"Main Campus, Kensington"
ECON7004,Term 1 2019,"Main Campus, Kensington"
ECON7205,Term 1 2019,"Main Campus, Kensington"
ECON1101,Term 2 2019,"Main Campus, Kensington"
ECON1102,Term 2 2019,"Main Campus, Kensington"
ECON1203,Term 2 2019,"Main Campus, Kensington"
ECON2103,Term 2 2019,"Main Campus, Kensington"
ECON2126,Term 2 2019,"Main Campus, Kensington"
ECON3101,Term 2 2019,"Main Campus, Kensington"
ECON3106,Term 2 2019,"Main Campus, Kensington"
ECON3107,Term 2 2019,"Main Campus, Kensington"
ECON3110,Term 2 2019,"Main Campus, Kensington"
ECON3116,Term 2 2019,"Main Campus, Kensington"
ECON3130,Term 2 2019,"Main Campus, Kensington"
ECON3206,Term 2 2019,"Main Campus, Kensington"
ECON4106,Term 2 2019,"Main Campus, Kensington"
ECON4124,Term 2 2019,"Main Campus, Kensington"
ECON4125,Term 2 2019,"Main Campus, Kensington"
ECON4127,Term 2 2019,"Main Campus, Kensington"
ECON4201,Term 2 2019,"Main Campus, Kensington"
ECON4302,Term 2 2019,"Main Campus, Kensington"
ECON4310,Term 2 2019,"Main Campus, Kensington"
ECON5000,Term 2 2019,"Main Campus, Kensington"
ECON5001,Term 2 2019,"Main Campus, Kensington"
ECON5106,Term 2 2019,"Main Campus, Kensington"
ECON5111,Term 2 2019,"Main Campus, Kensington"
ECON5206,Term 2 2019,"Main Campus, Kensington"
ECON5301,Term 2 2019,"Main Campus, Kensington"
ECON5306,Term 2 2019,"Main Campus, Kensington"
ECON5310,Term 2 2019,"Main Campus, Kensington"
ECON5316,Term 2 2019,"Main Campus, Kensington"
ECON5330,Term 2 2019,"Main Campus, Kensington"
ECON6002,Term 2 2019,"Main Campus, Kensington"
ECON6202,Term 2 2019,"Main Campus, Kensington"
ECON6203,Term 2 2019,"Main Campus, Kensington"
ECON6302,Term 2 2019,"Main Campus, Kensington"
ECON6310,Term 2 2019,"Main Campus, Kensington"
ECON7002,Term 2 2019,"Main Campus, Kensington"
ECON7204,Term 2 2019,"Main Campus, Kensington"
ECON7302,Term 2 2019,"Main Campus, Kensington"
ECON7310,Term 2 2019,"Main Campus, Kensington"
ECON1101,Term 3 2019,"Main Campus, Kensington"
ECON1202,Term 3 2019,"Main Campus, Kensington"
ECON1203,Term 3 2019,"Main Campus, Kensington"
ECON1401,Term 3 2019,"Main Campus, Kensington"
ECON2101,Term 3 2019,"Main Campus, Kensington"
ECON2102,Term 3 2019,"Main Campus, Kensington"
ECON2104,Term 3 2019,"Main Campus, Kensington"
ECON2107,Term 3 2019,"Main Campus, Kensington"
ECON2111,Term 3 2019,"Main Campus, Kensington"
ECON2127,Term 3 2019,"Main Campus, Kensington"
ECON2206,Term 3 2019,"Main Campus, Kensington"
ECON3117,Term 3 2019,"Main Campus, Kensington"
ECON3119,Term 3 2019,"Main Campus, Kensington"
ECON3123,Term 3 2019,"Main Campus, Kensington"
ECON3203,Term 3 2019,"Main Campus, Kensington"
ECON3208,Term 3 2019,"Main Campus, Kensington"
ECON4124,Term 3 2019,"Main Campus, Kensington"
ECON4125,Term 3 2019,"Main Campus, Kensington"
ECON4127,Term 3 2019,"Main Campus, Kensington"
ECON4208,Term 3 2019,"Main Campus, Kensington"
ECON4301,Term 3 2019,"Main Campus, Kensington"
ECON4303,Term 3 2019,"Main Campus, Kensington"
ECON4307,Term 3 2019,"Main Campus, Kensington"
ECON5000,Term 3 2019,"Main Campus, Kensington"
ECON5001,Term 3 2019,"Main Campus, Kensington"
ECON5103,Term 3 2019,"Main Campus, Kensington"
ECON5130,Term 3 2019,"Main Campus, Kensington"
ECON5136,Term 3 2019,"Main Campus, Kensington"
ECON5257,Term 3 2019,"Main Campus, Kensington"
ECON5319,Term 3 2019,"Main Campus, Kensington"
ECON5323,Term 3 2019,"Main Campus, Kensington"
ECON5403,Term 3 2019,"Main Campus, Kensington"
ECON5408,Term 3 2019,"Main Campus, Kensington"
ECON6101,Term 3 2019,"Main Campus, Kensington"
ECON6102,Term 3 2019,"Main Campus, Kensington"
ECON6301,Term 3 2019,"Main Campus, Kensington"
ECON6303,Term 3 2019,"Main Campus, Kensington"
ECON6307,Term 3 2019,"Main Campus, Kensington"
ECON7101,Term 3 2019,"Main Campus, Kensington"
ECON7102,Term 3 2019,"Main Campus, Kensington"
ECON7301,Term 3 2019,"Main Campus, Kensington"
ECON7303,Term 3 2019,"Main Campus, Kensington"
EDST0106,Summer Term 2019,"Main Campus, Kensington"
EDST0306,Summer Term 2019,"Main Campus, Kensington"
EDST0506,Summer Term 2019,"Main Campus, Kensington"
EDST2002,Summer Term 2019,"Main Campus, Kensington"
EDST2032,Summer Term 2019,"Main Campus, Kensington"
EDST5107,Summer Term 2019,"Main Campus, Kensington"
EDST5116,Summer Term 2019,"Main Campus, Kensington"
EDST5131,Summer Term 2019,"Main Campus, Kensington"
EDST5141,Summer Term 2019,"Main Campus, Kensington"
EDST5457,Summer Term 2019,"Main Campus, Kensington"
EDST5457,Summer Term 2019,"Main Campus, Kensington"
EDST5460,Summer Term 2019,"Main Campus, Kensington"
EDST5462,Summer Term 2019,"Main Campus, Kensington"
EDST5806,Summer Term 2019,"Main Campus, Kensington"
EDST5888,Summer Term 2019,"Main Campus, Kensington"
EDST5888,Summer Term 2019,"Main Campus, Kensington"
EDST5888,Summer Term 2019,"Main Campus, Kensington"
EDST6760,Summer Term 2019,"Main Campus, Kensington"
EDST6761,Summer Term 2019,"Main Campus, Kensington"
EDST0306,Term 1 2019,"Main Campus, Kensington"
EDST0506,Term 1 2019,"Main Campus, Kensington"
EDST1104,Term 1 2019,"Main Campus, Kensington"
EDST2002,Term 1 2019,"Main Campus, Kensington"
EDST2003,Term 1 2019,"Main Campus, Kensington"
EDST2091,Term 1 2019,"Main Campus, Kensington"
EDST4084,Term 1 2019,"Main Campus, Kensington"
EDST4096,Term 1 2019,"Main Campus, Kensington"
EDST4501,Term 1 2019,"Main Campus, Kensington"
EDST4502,Term 1 2019,"Main Campus, Kensington"
EDST4503,Term 1 2019,"Main Campus, Kensington"
EDST4504,Term 1 2019,"Main Campus, Kensington"
EDST4505,Term 1 2019,"Main Campus, Kensington"
EDST4506,Term 1 2019,"Main Campus, Kensington"
EDST4507,Term 1 2019,"Main Campus, Kensington"
EDST5034,Term 1 2019,"Main Campus, Kensington"
EDST5112,Term 1 2019,"Main Campus, Kensington"
EDST5113,Term 1 2019,"Main Campus, Kensington"
EDST5114,Term 1 2019,"Main Campus, Kensington"
EDST5115,Term 1 2019,"Main Campus, Kensington"
EDST5116,Term 1 2019,"Main Campus, Kensington"
EDST5117,Term 1 2019,"Main Campus, Kensington"
EDST5118,Term 1 2019,"Main Campus, Kensington"
EDST5121,Term 1 2019,"Main Campus, Kensington"
EDST5123,Term 1 2019,"Main Campus, Kensington"
EDST5126,Term 1 2019,"Main Campus, Kensington"
EDST5127,Term 1 2019,"Main Campus, Kensington"
EDST5133,Term 1 2019,"Main Campus, Kensington"
EDST5140,Term 1 2019,"Main Campus, Kensington"
EDST5145,Term 1 2019,"Main Campus, Kensington"
EDST5151,Term 1 2019,"Main Campus, Kensington"
EDST5314,Term 1 2019,"Main Campus, Kensington"
EDST5320,Term 1 2019,"Main Campus, Kensington"
EDST5325,Term 1 2019,"Main Campus, Kensington"
EDST5438,Term 1 2019,"Main Campus, Kensington"
EDST5440,Term 1 2019,"Main Campus, Kensington"
EDST5448,Term 1 2019,"Main Campus, Kensington"
EDST5452,Term 1 2019,"Main Campus, Kensington"
EDST5457,Term 1 2019,"Main Campus, Kensington"
EDST5458,Term 1 2019,"Main Campus, Kensington"
EDST5460,Term 1 2019,"Main Campus, Kensington"
EDST5803,Term 1 2019,"Main Campus, Kensington"
EDST5808,Term 1 2019,"Main Campus, Kensington"
EDST5888,Term 1 2019,"Main Campus, Kensington"
EDST6700,Term 1 2019,"Main Campus, Kensington"
EDST6701,Term 1 2019,"Main Campus, Kensington"
EDST6702,Term 1 2019,"Main Campus, Kensington"
EDST6704,Term 1 2019,"Main Campus, Kensington"
EDST6705,Term 1 2019,"Main Campus, Kensington"
EDST6706,Term 1 2019,"Main Campus, Kensington"
EDST6707,Term 1 2019,"Main Campus, Kensington"
EDST6708,Term 1 2019,"Main Campus, Kensington"
EDST6710,Term 1 2019,"Main Campus, Kensington"
EDST6711,Term 1 2019,"Main Campus, Kensington"
EDST6713,Term 1 2019,"Main Campus, Kensington"
EDST6714,Term 1 2019,"Main Campus, Kensington"
EDST6715,Term 1 2019,"Main Campus, Kensington"
EDST6716,Term 1 2019,"Main Campus, Kensington"
EDST6717,Term 1 2019,"Main Campus, Kensington"
EDST6718,Term 1 2019,"Main Campus, Kensington"
EDST6719,Term 1 2019,"Main Campus, Kensington"
EDST6720,Term 1 2019,"Main Campus, Kensington"
EDST6722,Term 1 2019,"Main Campus, Kensington"
EDST6723,Term 1 2019,"Main Campus, Kensington"
EDST6724,Term 1 2019,"Main Campus, Kensington"
EDST6725,Term 1 2019,"Main Campus, Kensington"
EDST6726,Term 1 2019,"Main Campus, Kensington"
EDST6727,Term 1 2019,"Main Campus, Kensington"
EDST6728,Term 1 2019,"Main Campus, Kensington"
EDST6760,Term 1 2019,"Main Campus, Kensington"
EDST6765,Term 1 2019,"Main Campus, Kensington"
EDST6771,Term 1 2019,"Main Campus, Kensington"
EDST6775,Term 1 2019,"Main Campus, Kensington"
EDST6777,Term 1 2019,"Main Campus, Kensington"
EDST6779,Term 1 2019,"Main Campus, Kensington"
EDST6781,Term 1 2019,"Main Campus, Kensington"
EDST6901,Term 1 2019,"Main Campus, Kensington"
EDST6911,Term 1 2019,"Main Campus, Kensington"
EDST6920,Term 1 2019,"Main Campus, Kensington"
EDST6921,Term 1 2019,"Main Campus, Kensington"
EDST6922,Term 1 2019,"Main Campus, Kensington"
EDST6923,Term 1 2019,"Main Campus, Kensington"
EDST6924,Term 1 2019,"Main Campus, Kensington"
EDST6925,Term 1 2019,"Main Campus, Kensington"
EDST6926,Term 1 2019,"Main Campus, Kensington"
EDST6927,Term 1 2019,"Main Campus, Kensington"
EDST7954,Term 1 2019,"Main Campus, Kensington"
EDST8301,Term 1 2019,"Main Campus, Kensington"
EDST8302,Term 1 2019,"Main Campus, Kensington"
EDST0306,Term 2 2019,"Main Campus, Kensington"
EDST0506,Term 2 2019,"Main Campus, Kensington"
EDST1108,Term 2 2019,"Main Campus, Kensington"
EDST2002,Term 2 2019,"Main Campus, Kensington"
EDST2044,Term 2 2019,"Main Campus, Kensington"
EDST2094,Term 2 2019,"Main Campus, Kensington"
EDST4501,Term 2 2019,"Main Campus, Kensington"
EDST4502,Term 2 2019,"Main Campus, Kensington"
EDST4503,Term 2 2019,"Main Campus, Kensington"
EDST4504,Term 2 2019,"Main Campus, Kensington"
EDST4505,Term 2 2019,"Main Campus, Kensington"
EDST4506,Term 2 2019,"Main Campus, Kensington"
EDST4507,Term 2 2019,"Main Campus, Kensington"
EDST5035,Term 2 2019,"Main Campus, Kensington"
EDST5101,Term 2 2019,"Main Campus, Kensington"
EDST5116,Term 2 2019,"Main Campus, Kensington"
EDST5129,Term 2 2019,"Main Campus, Kensington"
EDST5134,Term 2 2019,"Main Campus, Kensington"
EDST5138,Term 2 2019,"Main Campus, Kensington"
EDST5150,Term 2 2019,"Main Campus, Kensington"
EDST5308,Term 2 2019,"Main Campus, Kensington"
EDST5321,Term 2 2019,"Main Campus, Kensington"
EDST5436,Term 2 2019,"Main Campus, Kensington"
EDST5443,Term 2 2019,"Main Campus, Kensington"
EDST5448,Term 2 2019,"Main Campus, Kensington"
EDST5454,Term 2 2019,"Main Campus, Kensington"
EDST5457,Term 2 2019,"Main Campus, Kensington"
EDST5460,Term 2 2019,"Main Campus, Kensington"
EDST5608,Term 2 2019,"Main Campus, Kensington"
EDST5805,Term 2 2019,"Main Campus, Kensington"
EDST5807,Term 2 2019,"Main Campus, Kensington"
EDST5888,Term 2 2019,"Main Campus, Kensington"
EDST6730,Term 2 2019,"Main Campus, Kensington"
EDST6731,Term 2 2019,"Main Campus, Kensington"
EDST6732,Term 2 2019,"Main Campus, Kensington"
EDST6734,Term 2 2019,"Main Campus, Kensington"
EDST6735,Term 2 2019,"Main Campus, Kensington"
EDST6736,Term 2 2019,"Main Campus, Kensington"
EDST6737,Term 2 2019,"Main Campus, Kensington"
EDST6738,Term 2 2019,"Main Campus, Kensington"
EDST6740,Term 2 2019,"Main Campus, Kensington"
EDST6741,Term 2 2019,"Main Campus, Kensington"
EDST6743,Term 2 2019,"Main Campus, Kensington"
EDST6744,Term 2 2019,"Main Campus, Kensington"
EDST6745,Term 2 2019,"Main Campus, Kensington"
EDST6746,Term 2 2019,"Main Campus, Kensington"
EDST6747,Term 2 2019,"Main Campus, Kensington"
EDST6748,Term 2 2019,"Main Campus, Kensington"
EDST6749,Term 2 2019,"Main Campus, Kensington"
EDST6750,Term 2 2019,"Main Campus, Kensington"
EDST6752,Term 2 2019,"Main Campus, Kensington"
EDST6753,Term 2 2019,"Main Campus, Kensington"
EDST6754,Term 2 2019,"Main Campus, Kensington"
EDST6755,Term 2 2019,"Main Campus, Kensington"
EDST6756,Term 2 2019,"Main Campus, Kensington"
EDST6757,Term 2 2019,"Main Campus, Kensington"
EDST6758,Term 2 2019,"Main Campus, Kensington"
EDST6760,Term 2 2019,"Main Campus, Kensington"
EDST6765,Term 2 2019,"Main Campus, Kensington"
EDST6772,Term 2 2019,"Main Campus, Kensington"
EDST6776,Term 2 2019,"Main Campus, Kensington"
EDST6778,Term 2 2019,"Main Campus, Kensington"
EDST6783,Term 2 2019,"Main Campus, Kensington"
EDST6784,Term 2 2019,"Main Campus, Kensington"
EDST6901,Term 2 2019,"Main Campus, Kensington"
EDST6911,Term 2 2019,"Main Campus, Kensington"
EDST6950,Term 2 2019,"Main Campus, Kensington"
EDST6951,Term 2 2019,"Main Campus, Kensington"
