Course,Term_Offered,Campus
ACTL2100,Term 2 2019,"Main Campus, Kensington"
ACTL2102,Term 2 2019,"Main Campus, Kensington"
ACTL3142,Term 2 2019,"Main Campus, Kensington"
ACTL3202,Term 2 2019,"Main Campus, Kensington"
ACTL3303,Term 2 2019,"Main Campus, Kensington"
ACTL4000,Term 2 2019,"Main Campus, Kensington"
ACTL4002,Term 2 2019,"Main Campus, Kensington"
ACTL4003,Term 2 2019,"Main Campus, Kensington"
ACTL4301,Term 2 2019,"Main Campus, Kensington"
ACTL4303,Term 2 2019,"Main Campus, Kensington"
ACTL5000,Term 2 2019,"Main Campus, Kensington"
ACTL5001,Term 2 2019,"Main Campus, Kensington"
ACTL5003,Term 2 2019,"Main Campus, Kensington"
ACTL5103,Term 2 2019,"Main Campus, Kensington"
ACTL5110,Term 2 2019,"Main Campus, Kensington"
ACTL5200,Term 2 2019,"Main Campus, Kensington"
ACTL5301,Term 2 2019,"Main Campus, Kensington"
ACTL5303,Term 2 2019,"Main Campus, Kensington"
ACTL5401,Term 2 2019,"Main Campus, Kensington"
ACTL1101,Term 3 2019,"Main Campus, Kensington"
ACTL3162,Term 3 2019,"Main Campus, Kensington"
ACTL3182,Term 3 2019,"Main Campus, Kensington"
ACTL3192,Term 3 2019,"Main Campus, Kensington"
ACTL3303,Term 3 2019,"Main Campus, Kensington"
ACTL4000,Term 3 2019,"Main Campus, Kensington"
ACTL4003,Term 3 2019,"Main Campus, Kensington"
ACTL4302,Term 3 2019,"Main Campus, Kensington"
ACTL5000,Term 3 2019,"Main Campus, Kensington"
ACTL5001,Term 3 2019,"Main Campus, Kensington"
ACTL5003,Term 3 2019,"Main Campus, Kensington"
ACTL5106,Term 3 2019,"Main Campus, Kensington"
ACTL5108,Term 3 2019,"Main Campus, Kensington"
ACTL5109,Term 3 2019,"Main Campus, Kensington"
ACTL5302,Term 3 2019,"Main Campus, Kensington"
ACTL5306,Term 3 2019,"Main Campus, Kensington"
AERO3410,Term 1 2019,"Main Campus, Kensington"
AERO3630,Term 1 2019,"Main Campus, Kensington"
AERO3660,Term 1 2019,"Main Campus, Kensington"
AERO4620,Term 1 2019,"Main Campus, Kensington"
AERO9000,Term 1 2019,"Main Campus, Kensington"
AERO9001,Term 1 2019,"Main Campus, Kensington"
AERO9610,Term 1 2019,"Main Campus, Kensington"
AERO3110,Term 2 2019,"Main Campus, Kensington"
AERO4110,Term 2 2019,"Main Campus, Kensington"
AERO9000,Term 2 2019,"Main Campus, Kensington"
AERO9001,Term 2 2019,"Main Campus, Kensington"
AERO9000,Term 3 2019,"Main Campus, Kensington"
AERO9001,Term 3 2019,"Main Campus, Kensington"
